"","X","country","year","hourly_compensation"
"316",316,"Greece",1991,6.84999990463257
"317",317,"Hong Kong, China",1991,3.5699999332428
"318",318,"Ireland",1991,12.3699998855591
"319",319,"Israel",1991,7.90000009536743
"320",320,"Italy",1991,18.7399997711182
"321",321,"Japan",1991,14.5100002288818
"322",322,"Korea, Rep.",1991,4.6100001335144
"323",323,"Luxembourg",1991,16.2700004577637
"324",324,"Mexico",1991,1.83000004291534
"325",325,"Netherlands",1991,18.0599994659424
"326",326,"New Zealand",1991,8.52000045776367
"327",327,"Norway",1991,21.9500007629395
"328",328,"Philippines",1991,0.6700000166893
"329",329,"Portugal",1991,4.05000019073486
"330",330,"Singapore",1991,4.30999994277954
"331",331,"Spain",1991,12.1899995803833
"332",332,"Sri Lanka",1991,0.40000000596046
"333",333,"Sweden",1991,22
"334",334,"Switzerland",1991,21.4300003051758
"335",335,"Taiwan",1991,4.34000015258789
"336",336,"United Kingdom",1991,13.4200000762939
"337",337,"United States",1991,15.5200004577637
"338",338,"Australia",1992,13.2299995422363
"339",339,"Austria",1992,20.2399997711182
"340",340,"Belgium",1992,20.5
"341",341,"Canada",1992,17.5699996948242
"342",342,"Denmark",1992,20.4099998474121
"343",343,"Finland",1992,19.1599998474121
"344",344,"France",1992,17.3199996948242
"345",345,"Greece",1992,7.65999984741211
"346",346,"Hong Kong, China",1992,3.91000008583069
"347",347,"Ireland",1992,13.6000003814697
"348",348,"Israel",1992,8.11999988555908
"349",349,"Italy",1992,19.6399993896484
"350",350,"Japan",1992,16.1299991607666
"351",351,"Korea, Rep.",1992,5.21000003814697
"352",352,"Luxembourg",1992,18.1299991607666
"353",353,"Mexico",1992,2.16000008583069
"354",354,"Netherlands",1992,20.0100002288818
"355",355,"New Zealand",1992,8.05000019073486
"356",356,"Norway",1992,23.4799995422363
"357",357,"Philippines",1992,0.77999997138977
"358",358,"Portugal",1992,4.92999982833862
"359",359,"Singapore",1992,4.90999984741211
"360",360,"Spain",1992,13.3900003433228
